Product ID;Product Name;Category;Sub Category;Proveedor ID;Marca;Costo por unidad;Otros impuestos 2%; Total costo ;25%  Rentabilidad;IVA 21%;Precio final;;
P037;Fanta 2,25l;Bebidas;Gaseosas;pr001;Fanta; $ 3.876 ;78; $ 3.954 ; $ 4.942 ; $ 1.038 ; $ 5.980 ;;
P038;Fanta Zero 2,25l;Bebidas;Gaseosas;pr001;Fanta; $ 3.876 ;78; $ 3.954 ; $ 4.942 ; $ 1.038 ; $ 5.980 ;;
P039;Schweppes ginger 310l;Bebidas;Gaseosas;pr001;Schweppes; $ 1.107 ;22; $ 1.130 ; $ 1.412 ; $ 297 ; $ 1.709 ;;
P040;Schweppes tonica 310l;Bebidas;Gaseosas;pr001;Schweppes; $ 1.107 ;22; $ 1.130 ; $ 1.412 ; $ 297 ; $ 1.709 ;;
P041;Schweppes tonica Zero 310l;Bebidas;Gaseosas;pr001;Schweppes; $ 1.107 ;22; $ 1.130 ; $ 1.412 ; $ 297 ; $ 1.709 ;;
P042;Schweppes pomelo 310l;Bebidas;Gaseosas;pr001;Schweppes; $ 1.107 ;22; $ 1.130 ; $ 1.412 ; $ 297 ; $ 1.709 ;;
P043;Schweppes pomelo 1,5l;Bebidas;Gaseosas;pr001;Schweppes; $ 3.322 ;66; $ 3.389 ; $ 4.236 ; $ 890 ; $ 5.126 ;;
P044;Schweppes tonica 1,5l;Bebidas;Gaseosas;pr001;Schweppes; $ 3.322 ;66; $ 3.389 ; $ 4.236 ; $ 890 ; $ 5.126 ;;
P045;Schweppes citrus 1,5l;Bebidas;Gaseosas;pr001;Schweppes; $ 3.322 ;66; $ 3.389 ; $ 4.236 ; $ 890 ; $ 5.126 ;;
P046;Aquarius anana 500ml;Bebidas;Aguas saborizadas;pr001;Aquarius; $ 1.329 ;27; $ 1.356 ; $ 1.694 ; $ 356 ; $ 2.050 ;;
P047;Aquarius pera 500ml;Bebidas;Aguas saborizadas;pr001;Aquarius; $ 1.329 ;27; $ 1.356 ; $ 1.694 ; $ 356 ; $ 2.050 ;;
P048;Aquarius pomelo 500ml;Bebidas;Aguas saborizadas;pr001;Aquarius; $ 1.329 ;27; $ 1.356 ; $ 1.694 ; $ 356 ; $ 2.050 ;;
P049;Aquarius uva 500ml;Bebidas;Aguas saborizadas;pr001;Aquarius; $ 1.329 ;27; $ 1.356 ; $ 1.694 ; $ 356 ; $ 2.050 ;;
P050;Aquarius naranja 500ml;Bebidas;Aguas saborizadas;pr001;Aquarius; $ 1.329 ;27; $ 1.356 ; $ 1.694 ; $ 356 ; $ 2.050 ;;
P051;Aquarius manzana 500ml;Bebidas;Aguas saborizadas;pr001;Aquarius; $ 1.329 ;27; $ 1.356 ; $ 1.694 ; $ 356 ; $ 2.050 ;;
P052;Aquarius limonada 500ml;Bebidas;Aguas saborizadas;pr001;Aquarius; $ 1.329 ;27; $ 1.356 ; $ 1.694 ; $ 356 ; $ 2.050 ;;
P053;Aquarius anana 1,5l;Bebidas;Aguas saborizadas;pr001;Aquarius; $ 1.329 ;27; $ 1.356 ; $ 1.694 ; $ 356 ; $ 2.050 ;;
P054;Aquarius pera 1,5l;Bebidas;Aguas saborizadas;pr001;Aquarius; $ 2.215 ;44; $ 2.259 ; $ 2.824 ; $ 593 ; $ 3.417 ;;
P055;Aquarius pomelo 1,5l;Bebidas;Aguas saborizadas;pr001;Aquarius; $ 2.215 ;44; $ 2.259 ; $ 2.824 ; $ 593 ; $ 3.417 ;;
P056;Aquarius uva 1,5l;Bebidas;Aguas saborizadas;pr001;Aquarius; $ 2.215 ;44; $ 2.259 ; $ 2.824 ; $ 593 ; $ 3.417 ;;
P057;Aquarius naranja 1,5l;Bebidas;Aguas saborizadas;pr001;Aquarius; $ 2.215 ;44; $ 2.259 ; $ 2.824 ; $ 593 ; $ 3.417 ;;
P058;Aquarius manzana 1,5l;Bebidas;Aguas saborizadas;pr001;Aquarius; $ 2.215 ;44; $ 2.259 ; $ 2.824 ; $ 593 ; $ 3.417 ;;
P059;Aquarius limonada 1,5l;Bebidas;Aguas saborizadas;pr001;Aquarius; $ 2.215 ;44; $ 2.259 ; $ 2.824 ; $ 593 ; $ 3.417 ;;
P060;Aquarius pera 2,25l;Bebidas;Aguas saborizadas;pr001;Aquarius; $ 3.322 ;66; $ 3.389 ; $ 4.236 ; $ 890 ; $ 5.126 ;;
P061;Aquarius pomelo 2,25l;Bebidas;Aguas saborizadas;pr001;Aquarius; $ 3.322 ;66; $ 3.389 ; $ 4.236 ; $ 890 ; $ 5.126 ;;
P062;Aquarius uva 2,25l;Bebidas;Aguas saborizadas;pr001;Aquarius; $ 3.322 ;66; $ 3.389 ; $ 4.236 ; $ 890 ; $ 5.126 ;;
P063;Aquarius naranja 2,25l;Bebidas;Aguas saborizadas;pr001;Aquarius; $ 3.322 ;66; $ 3.389 ; $ 4.236 ; $ 890 ; $ 5.126 ;;
P064;Aquarius manzana 2,25l;Bebidas;Aguas saborizadas;pr001;Aquarius; $ 3.322 ;66; $ 3.389 ; $ 4.236 ; $ 890 ; $ 5.126 ;;
P065;Aquarius limonada 2,25l;Bebidas;Aguas saborizadas;pr001;Aquarius; $ 3.322 ;66; $ 3.389 ; $ 4.236 ; $ 890 ; $ 5.126 ;;
P066;Monster Pipeline 473ml;Bebidas;Bebida energetica;pr001;Monster; $ 2.879 ;58; $ 2.937 ; $ 3.671 ; $ 771 ; $ 4.442 ;;
P067;Monster Watermelon 473ml;Bebidas;Bebida energetica;pr001;Monster; $ 2.879 ;58; $ 2.937 ; $ 3.671 ; $ 771 ; $ 4.442 ;;
P068;Monster Ultra 473ml;Bebidas;Bebida energetica;pr001;Monster; $ 2.879 ;58; $ 2.937 ; $ 3.671 ; $ 771 ; $ 4.442 ;;
P069;Monster Sunrise 473ml;Bebidas;Bebida energetica;pr001;Monster; $ 2.879 ;58; $ 2.937 ; $ 3.671 ; $ 771 ; $ 4.442 ;;
P070;Monster Vr46 473ml;Bebidas;Bebida energetica;pr001;Monster; $ 2.879 ;58; $ 2.937 ; $ 3.671 ; $ 771 ; $ 4.442 ;;
P071;Monster Reserve 473ml;Bebidas;Bebida energetica;pr001;Monster; $ 2.879 ;58; $ 2.937 ; $ 3.671 ; $ 771 ; $ 4.442 ;;
P072;Monster Paradise 437ml;Bebidas;Bebida energetica;pr001;Monster; $ 2.879 ;58; $ 2.937 ; $ 3.671 ; $ 771 ; $ 4.442 ;;
P073;Monster Original 437ml;Bebidas;Bebida energetica;pr001;Monster; $ 2.879 ;58; $ 2.937 ; $ 3.671 ; $ 771 ; $ 4.442 ;;
P074;Pepsi lata 354ml;Bebidas;Gaseosas;pr002;Pepsi; $ 1.218 ;24; $ 1.243 ; $ 1.553 ; $ 326 ; $ 1.879 ;;
P075;Pepsi Black lata 354ml;Bebidas;Gaseosas;pr002;Pepsi; $ 1.218 ;24; $ 1.243 ; $ 1.553 ; $ 326 ; $ 1.879 ;;
P076;Pepsi 500ml;Bebidas;Gaseosas;pr002;Pepsi; $ 1.661 ;33; $ 1.694 ; $ 2.118 ; $ 445 ; $ 2.563 ;;
